,timestamp,symbol,price,quantity,buyer,seller,currency
0,100,KELP,2034,1,ExplicitBook,SUBMISSION,SEASHELLS
1,200,KELP,2034,1,InferredBot,SUBMISSION,SEASHELLS
2,300,KELP,2034,1,ExplicitBook,SUBMISSION,SEASHELLS
3,500,SQUID_INK,1836,1,,,SEASHELLS
4,600,KELP,2033,5,SUBMISSION,InferredBot,SEASHELLS
5,600,KELP,2033,5,,,SEASHELLS
6,600,SQUID_INK,1832,14,,,SEASHELLS
7,600,SQUID_INK,1834,0,,,SEASHELLS
8,700,SQUID_INK,1834,1,,,SEASHELLS
9,800,KELP,2033,3,SUBMISSION,ExplicitBook,SEASHELLS
10,900,KELP,2034,15,InferredBot,SUBMISSION,SEASHELLS
11,900,KELP,2035,15,,,SEASHELLS
12,900,KELP,2034,12,,,SEASHELLS
13,1200,KELP,2032,1,SUBMISSION,ExplicitBook,SEASHELLS
14,1400,SQUID_INK,1842,6,,,SEASHELLS
15,1500,KELP,2034,1,ExplicitBook,SUBMISSION,SEASHELLS
16,1900,KELP,2032,1,,,SEASHELLS
17,3000,KELP,2034,1,ExplicitBook,SUBMISSION,SEASHELLS
18,3000,SQUID_INK,1850,1,,,SEASHELLS
19,3200,KELP,2033,5,SUBMISSION,ExplicitBook,SEASHELLS
20,3700,RAINFOREST_RESIN,9998,1,,,SEASHELLS
21,4800,KELP,2034,1,ExplicitBook,SUBMISSION,SEASHELLS
22,5200,KELP,2033,4,SUBMISSION,InferredBot,SEASHELLS
23,5200,KELP,2033,0,,,SEASHELLS
24,5400,KELP,2034,1,InferredBot,SUBMISSION,SEASHELLS
25,5500,KELP,2032,8,,,SEASHELLS
26,6200,KELP,2034,1,ExplicitBook,SUBMISSION,SEASHELLS
27,6200,SQUID_INK,1861,1,,,SEASHELLS
28,6300,KELP,2034,11,InferredBot,SUBMISSION,SEASHELLS
29,6300,SQUID_INK,1862,11,,,SEASHELLS
30,6600,KELP,2032,7,,,SEASHELLS
31,7400,KELP,2034,13,InferredBot,SUBMISSION,SEASHELLS
32,8000,KELP,2034,1,ExplicitBook,SUBMISSION,SEASHELLS
33,8200,KELP,2033,1,SUBMISSION,InferredBot,SEASHELLS
34,8700,KELP,2034,1,ExplicitBook,SUBMISSION,SEASHELLS
35,10300,KELP,2035,1,InferredBot,SUBMISSION,SEASHELLS
36,10300,KELP,2036,1,,,SEASHELLS
37,10600,KELP,2035,3,ExplicitBook,SUBMISSION,SEASHELLS
38,10600,SQUID_INK,1857,4,,,SEASHELLS
39,10800,SQUID_INK,1857,0,,,SEASHELLS
40,10900,KELP,2034,6,SUBMISSION,ExplicitBook,SEASHELLS
41,11800,KELP,2033,4,,,SEASHELLS
42,12700,RAINFOREST_RESIN,10002,1,,,SEASHELLS
43,13100,KELP,2033,2,SUBMISSION,ExplicitBook,SEASHELLS
44,13900,KELP,2033,3,SUBMISSION,ExplicitBook,SEASHELLS
45,14000,KELP,2032,1,,,SEASHELLS
46,14100,KELP,2033,15,SUBMISSION,InferredBot,SEASHELLS
47,14100,SQUID_INK,1851,15,,,SEASHELLS
48,14400,KELP,2033,2,SUBMISSION,InferredBot,SEASHELLS
49,14400,SQUID_INK,1853,2,,,SEASHELLS
50,14600,KELP,2033,3,SUBMISSION,ExplicitBook,SEASHELLS
51,14600,KELP,2033,1,,,SEASHELLS
52,15800,KELP,2035,2,InferredBot,SUBMISSION,SEASHELLS
53,15900,KELP,2033,3,SUBMISSION,ExplicitBook,SEASHELLS
54,16100,KELP,2033,1,SUBMISSION,ExplicitBook,SEASHELLS
55,16100,SQUID_INK,1857,2,,,SEASHELLS
56,17400,KELP,2035,2,InferredBot,SUBMISSION,SEASHELLS
57,17500,KELP,2035,12,InferredBot,SUBMISSION,SEASHELLS
58,17500,KELP,2036,12,,,SEASHELLS
59,17900,KELP,2035,1,ExplicitBook,SUBMISSION,SEASHELLS
60,18200,RAINFOREST_RESIN,10002,9,,,SEASHELLS
61,18400,KELP,2035,1,ExplicitBook,SUBMISSION,SEASHELLS
62,18500,KELP,2033,1,,,SEASHELLS
63,19500,KELP,2033,14,,,SEASHELLS
64,19600,KELP,2035,11,InferredBot,SUBMISSION,SEASHELLS
65,20000,RAINFOREST_RESIN,9998,1,,,SEASHELLS
66,20400,KELP,2033,3,,,SEASHELLS
67,20600,KELP,2035,2,InferredBot,SUBMISSION,SEASHELLS
68,20700,KELP,2034,1,SUBMISSION,InferredBot,SEASHELLS
69,20700,SQUID_INK,1837,0,,,SEASHELLS
70,20700,SQUID_INK,1835,8,,,SEASHELLS
71,20700,SQUID_INK,1835,3,,,SEASHELLS
72,20700,KELP,2034,0,,,SEASHELLS
73,21100,KELP,2034,2,SUBMISSION,ExplicitBook,SEASHELLS
74,21200,KELP,2035,1,ExplicitBook,SUBMISSION,SEASHELLS
75,21200,KELP,2035,1,,,SEASHELLS
76,21500,KELP,2033,5,SUBMISSION,ExplicitBook,SEASHELLS
77,22100,KELP,2035,1,,,SEASHELLS
78,22500,KELP,2035,1,ExplicitBook,SUBMISSION,SEASHELLS
79,22500,KELP,2035,1,,,SEASHELLS
80,22600,KELP,2035,1,ExplicitBook,SUBMISSION,SEASHELLS
81,23000,KELP,2035,1,ExplicitBook,SUBMISSION,SEASHELLS
82,23000,SQUID_INK,1847,1,,,SEASHELLS
83,23600,KELP,2033,1,,,SEASHELLS
84,23700,KELP,2035,1,ExplicitBook,SUBMISSION,SEASHELLS
85,24300,RAINFOREST_RESIN,10002,1,,,SEASHELLS
86,24500,KELP,2034,2,SUBMISSION,InferredBot,SEASHELLS
87,24500,SQUID_INK,1844,9,,,SEASHELLS
88,25100,RAINFOREST_RESIN,9998,1,,,SEASHELLS
89,25200,KELP,2034,4,SUBMISSION,ExplicitBook,SEASHELLS
90,25900,KELP,2035,2,InferredBot,SUBMISSION,SEASHELLS
91,26000,KELP,2035,1,ExplicitBook,SUBMISSION,SEASHELLS
92,26000,KELP,2035,1,,,SEASHELLS
93,26000,KELP,2033,13,,,SEASHELLS
94,26000,KELP,2035,0,,,SEASHELLS
95,26000,SQUID_INK,1849,13,,,SEASHELLS
96,26000,SQUID_INK,1851,0,,,SEASHELLS
97,26100,KELP,2035,1,ExplicitBook,SUBMISSION,SEASHELLS
98,26300,SQUID_INK,1848,1,,,SEASHELLS
99,26700,KELP,2035,1,ExplicitBook,SUBMISSION,SEASHELLS
100,27100,KELP,2035,1,ExplicitBook,SUBMISSION,SEASHELLS
101,27200,KELP,2035,1,ExplicitBook,SUBMISSION,SEASHELLS
102,27600,KELP,2035,1,ExplicitBook,SUBMISSION,SEASHELLS
103,28500,KELP,2033,1,,,SEASHELLS
104,28600,KELP,2034,5,SUBMISSION,ExplicitBook,SEASHELLS
105,28600,KELP,2033,1,,,SEASHELLS
106,28700,KELP,2033,1,,,SEASHELLS
107,29300,KELP,2035,1,,,SEASHELLS
108,29400,RAINFOREST_RESIN,10002,1,,,SEASHELLS
109,29500,SQUID_INK,1850,1,,,SEASHELLS
110,29600,KELP,2034,4,SUBMISSION,ExplicitBook,SEASHELLS
111,29800,KELP,2035,1,ExplicitBook,SUBMISSION,SEASHELLS
112,29900,KELP,2035,15,InferredBot,SUBMISSION,SEASHELLS
113,30400,SQUID_INK,1852,3,,,SEASHELLS
114,31000,KELP,2035,6,ExplicitBook,SUBMISSION,SEASHELLS
115,31000,KELP,2035,1,InferredBot,SUBMISSION,SEASHELLS
116,31100,KELP,2034,9,SUBMISSION,ExplicitBook,SEASHELLS
117,31200,RAINFOREST_RESIN,10002,1,,,SEASHELLS
118,31400,RAINFOREST_RESIN,10002,3,,,SEASHELLS
119,31700,RAINFOREST_RESIN,10002,1,,,SEASHELLS
120,32100,KELP,2034,2,SUBMISSION,InferredBot,SEASHELLS
121,32500,KELP,2036,9,InferredBot,SUBMISSION,SEASHELLS
122,34000,KELP,2036,1,ExplicitBook,SUBMISSION,SEASHELLS
123,34200,RAINFOREST_RESIN,10002,1,,,SEASHELLS
124,34600,KELP,2036,8,InferredBot,SUBMISSION,SEASHELLS
125,34800,KELP,2034,10,,,SEASHELLS
126,36000,KELP,2035,2,SUBMISSION,ExplicitBook,SEASHELLS
127,36600,KELP,2035,2,SUBMISSION,ExplicitBook,SEASHELLS
128,36700,RAINFOREST_RESIN,10002,1,,,SEASHELLS
129,37100,KELP,2036,4,InferredBot,SUBMISSION,SEASHELLS
130,37600,KELP,2035,9,SUBMISSION,InferredBot,SEASHELLS
131,37600,SQUID_INK,1847,1,,,SEASHELLS
132,37800,KELP,2036,2,InferredBot,SUBMISSION,SEASHELLS
133,38400,SQUID_INK,1850,2,,,SEASHELLS
134,38700,KELP,2034,1,,,SEASHELLS
135,39000,KELP,2035,3,SUBMISSION,ExplicitBook,SEASHELLS
136,39100,KELP,2036,1,InferredBot,SUBMISSION,SEASHELLS
137,39200,KELP,2035,4,SUBMISSION,ExplicitBook,SEASHELLS
138,39200,KELP,2035,2,SUBMISSION,InferredBot,SEASHELLS
139,39200,SQUID_INK,1850,3,,,SEASHELLS
140,39700,KELP,2035,6,SUBMISSION,ExplicitBook,SEASHELLS
141,39700,KELP,2034,1,,,SEASHELLS
142,40000,KELP,2035,14,SUBMISSION,InferredBot,SEASHELLS
143,40000,SQUID_INK,1849,14,,,SEASHELLS
144,40000,KELP,2034,13,,,SEASHELLS
145,40200,KELP,2036,6,InferredBot,SUBMISSION,SEASHELLS
146,40500,KELP,2036,13,InferredBot,SUBMISSION,SEASHELLS
147,40700,KELP,2036,1,ExplicitBook,SUBMISSION,SEASHELLS
148,41800,SQUID_INK,1857,1,,,SEASHELLS
149,42400,KELP,2035,1,SUBMISSION,InferredBot,SEASHELLS
150,42800,KELP,2035,2,SUBMISSION,ExplicitBook,SEASHELLS
151,43800,KELP,2037,4,InferredBot,SUBMISSION,SEASHELLS
152,43800,KELP,2038,5,,,SEASHELLS
153,43900,KELP,2036,2,InferredBot,SUBMISSION,SEASHELLS
154,44700,KELP,2036,1,,,SEASHELLS
155,45000,KELP,2034,1,,,SEASHELLS
156,45500,KELP,2034,2,SUBMISSION,ExplicitBook,SEASHELLS
157,46000,RAINFOREST_RESIN,9998,1,,,SEASHELLS
158,46400,KELP,2035,1,,,SEASHELLS
159,46500,SQUID_INK,1847,2,,,SEASHELLS
160,46900,KELP,2033,10,,,SEASHELLS
161,47200,KELP,2035,1,ExplicitBook,SUBMISSION,SEASHELLS
162,47200,KELP,2035,1,,,SEASHELLS
163,47400,SQUID_INK,1847,4,,,SEASHELLS
164,47700,KELP,2034,10,SUBMISSION,InferredBot,SEASHELLS
165,48100,SQUID_INK,1845,1,,,SEASHELLS
166,48200,SQUID_INK,1842,1,,,SEASHELLS
167,48300,KELP,2034,4,SUBMISSION,ExplicitBook,SEASHELLS
168,48300,SQUID_INK,1839,4,,,SEASHELLS
169,48700,KELP,2034,2,SUBMISSION,ExplicitBook,SEASHELLS
170,49700,KELP,2036,1,ExplicitBook,SUBMISSION,SEASHELLS
171,49800,KELP,2036,1,InferredBot,SUBMISSION,SEASHELLS
172,49800,SQUID_INK,1832,1,,,SEASHELLS
173,50100,RAINFOREST_RESIN,10002,4,,,SEASHELLS
174,50600,KELP,2035,4,SUBMISSION,ExplicitBook,SEASHELLS
175,50600,SQUID_INK,1832,4,,,SEASHELLS
176,50900,KELP,2035,5,SUBMISSION,ExplicitBook,SEASHELLS
177,50900,SQUID_INK,1831,1,,,SEASHELLS
178,51400,KELP,2036,10,InferredBot,SUBMISSION,SEASHELLS
179,51400,KELP,2036,5,,,SEASHELLS
180,51500,KELP,2036,4,InferredBot,SUBMISSION,SEASHELLS
181,51500,KELP,2035,2,SUBMISSION,InferredBot,SEASHELLS
182,51500,SQUID_INK,1829,2,,,SEASHELLS
183,51600,KELP,2036,3,ExplicitBook,SUBMISSION,SEASHELLS
184,52000,KELP,2035,5,SUBMISSION,ExplicitBook,SEASHELLS
185,52200,KELP,2034,1,SUBMISSION,ExplicitBook,SEASHELLS
186,52200,SQUID_INK,1827,1,,,SEASHELLS
187,52400,RAINFOREST_RESIN,10002,3,,,SEASHELLS
188,52700,KELP,2036,1,ExplicitBook,SUBMISSION,SEASHELLS
189,52800,KELP,2036,1,ExplicitBook,SUBMISSION,SEASHELLS
190,53100,RAINFOREST_RESIN,9998,5,,,SEASHELLS
191,53200,KELP,2036,1,ExplicitBook,SUBMISSION,SEASHELLS
192,53300,KELP,2035,8,SUBMISSION,InferredBot,SEASHELLS
193,53300,KELP,2034,3,,,SEASHELLS
194,53900,KELP,2035,4,SUBMISSION,ExplicitBook,SEASHELLS
195,54000,RAINFOREST_RESIN,10002,1,,,SEASHELLS
196,54100,KELP,2036,2,InferredBot,SUBMISSION,SEASHELLS
197,54100,KELP,2037,2,,,SEASHELLS
198,54200,KELP,2034,1,,,SEASHELLS
199,54300,KELP,2035,2,SUBMISSION,InferredBot,SEASHELLS
200,54700,KELP,2036,2,InferredBot,SUBMISSION,SEASHELLS
201,54900,SQUID_INK,1841,1,,,SEASHELLS
202,55200,KELP,2034,1,,,SEASHELLS
203,56200,KELP,2035,4,SUBMISSION,ExplicitBook,SEASHELLS
204,56700,KELP,2034,2,SUBMISSION,ExplicitBook,SEASHELLS
205,56700,SQUID_INK,1841,2,,,SEASHELLS
206,57100,KELP,2036,1,ExplicitBook,SUBMISSION,SEASHELLS
207,57600,RAINFOREST_RESIN,9998,1,,,SEASHELLS
208,57900,KELP,2034,5,SUBMISSION,ExplicitBook,SEASHELLS
209,57900,SQUID_INK,1840,5,,,SEASHELLS
210,58000,KELP,2036,14,InferredBot,SUBMISSION,SEASHELLS
211,58100,RAINFOREST_RESIN,10005,7,,,SEASHELLS
212,58600,KELP,2034,1,SUBMISSION,InferredBot,SEASHELLS
213,58600,SQUID_INK,1840,1,,,SEASHELLS
214,58800,SQUID_INK,1839,2,,,SEASHELLS
215,58900,KELP,2036,1,ExplicitBook,SUBMISSION,SEASHELLS
216,58900,KELP,2036,2,InferredBot,SUBMISSION,SEASHELLS
217,59200,KELP,2036,10,ExplicitBook,SUBMISSION,SEASHELLS
218,59600,RAINFOREST_RESIN,10002,1,,,SEASHELLS
219,59700,KELP,2036,1,ExplicitBook,SUBMISSION,SEASHELLS
220,59900,KELP,2035,2,SUBMISSION,InferredBot,SEASHELLS
221,60600,KELP,2034,1,,,SEASHELLS
222,60700,KELP,2036,9,ExplicitBook,SUBMISSION,SEASHELLS
223,60800,KELP,2036,1,ExplicitBook,SUBMISSION,SEASHELLS
224,60900,KELP,2036,1,ExplicitBook,SUBMISSION,SEASHELLS
225,61000,RAINFOREST_RESIN,9998,1,,,SEASHELLS
226,61500,KELP,2036,1,ExplicitBook,SUBMISSION,SEASHELLS
227,61800,KELP,2034,1,,,SEASHELLS
228,61900,KELP,2034,9,SUBMISSION,InferredBot,SEASHELLS
229,62700,KELP,2036,15,InferredBot,SUBMISSION,SEASHELLS
230,62700,SQUID_INK,1837,15,,,SEASHELLS
231,63300,KELP,2036,1,ExplicitBook,SUBMISSION,SEASHELLS
232,63600,KELP,2036,0,,,SEASHELLS
233,63700,SQUID_INK,1837,5,,,SEASHELLS
234,63700,SQUID_INK,1837,7,,,SEASHELLS
235,64800,KELP,2034,1,SUBMISSION,ExplicitBook,SEASHELLS
236,64800,SQUID_INK,1838,1,,,SEASHELLS
237,65000,KELP,2036,1,ExplicitBook,SUBMISSION,SEASHELLS
238,65400,SQUID_INK,1838,1,,,SEASHELLS
239,65700,SQUID_INK,1837,1,,,SEASHELLS
240,65800,RAINFOREST_RESIN,10002,1,,,SEASHELLS
241,66500,SQUID_INK,1840,11,,,SEASHELLS
242,69800,KELP,2034,1,,,SEASHELLS
243,70100,SQUID_INK,1839,1,,,SEASHELLS
244,70500,SQUID_INK,1838,3,,,SEASHELLS
245,70700,KELP,2037,1,,,SEASHELLS
246,70900,KELP,2034,1,,,SEASHELLS
247,71700,KELP,2034,1,SUBMISSION,InferredBot,SEASHELLS
248,72200,RAINFOREST_RESIN,9998,1,,,SEASHELLS
249,72800,KELP,2034,8,SUBMISSION,ExplicitBook,SEASHELLS
250,72800,SQUID_INK,1846,8,,,SEASHELLS
251,73400,RAINFOREST_RESIN,10002,1,,,SEASHELLS
252,73600,KELP,2034,2,SUBMISSION,InferredBot,SEASHELLS
253,73600,KELP,2033,2,,,SEASHELLS
254,73900,KELP,2036,2,InferredBot,SUBMISSION,SEASHELLS
255,74300,SQUID_INK,1834,1,,,SEASHELLS
256,74500,KELP,2036,1,ExplicitBook,SUBMISSION,SEASHELLS
257,74500,KELP,2036,1,,,SEASHELLS
258,75000,KELP,2035,1,SUBMISSION,InferredBot,SEASHELLS
259,75500,KELP,2035,2,SUBMISSION,InferredBot,SEASHELLS
260,75500,KELP,2034,2,,,SEASHELLS
261,75700,KELP,2036,1,ExplicitBook,SUBMISSION,SEASHELLS
262,75700,KELP,2036,2,InferredBot,SUBMISSION,SEASHELLS
263,75800,KELP,2036,1,ExplicitBook,SUBMISSION,SEASHELLS
264,76700,KELP,2035,2,SUBMISSION,InferredBot,SEASHELLS
265,76700,SQUID_INK,1826,1,,,SEASHELLS
266,76900,KELP,2034,1,,,SEASHELLS
267,77300,SQUID_INK,1821,1,,,SEASHELLS
268,77400,KELP,2036,9,InferredBot,SUBMISSION,SEASHELLS
269,77400,SQUID_INK,1826,10,,,SEASHELLS
270,78100,KELP,2035,1,,,SEASHELLS
271,79400,KELP,2038,1,,,SEASHELLS
272,79500,SQUID_INK,1816,1,,,SEASHELLS
273,80000,KELP,2035,1,SUBMISSION,ExplicitBook,SEASHELLS
274,80100,KELP,2035,1,SUBMISSION,InferredBot,SEASHELLS
275,80500,KELP,2037,1,InferredBot,SUBMISSION,SEASHELLS
276,80500,KELP,2035,2,SUBMISSION,ExplicitBook,SEASHELLS
277,80500,SQUID_INK,1808,1,,,SEASHELLS
278,81200,KELP,2037,1,InferredBot,SUBMISSION,SEASHELLS
279,81200,KELP,2037,1,,,SEASHELLS
280,81300,KELP,2037,2,InferredBot,SUBMISSION,SEASHELLS
281,81300,SQUID_INK,1808,2,,,SEASHELLS
282,82100,RAINFOREST_RESIN,9998,4,,,SEASHELLS
283,82600,KELP,2036,5,SUBMISSION,ExplicitBook,SEASHELLS
284,83100,RAINFOREST_RESIN,9998,5,,,SEASHELLS
285,83500,KELP,2037,1,ExplicitBook,SUBMISSION,SEASHELLS
286,83600,SQUID_INK,1803,2,,,SEASHELLS
287,83800,RAINFOREST_RESIN,9998,2,,,SEASHELLS
288,84000,KELP,2035,1,,,SEASHELLS
289,84700,RAINFOREST_RESIN,10002,1,,,SEASHELLS
290,85100,RAINFOREST_RESIN,9996,1,,,SEASHELLS
291,85500,KELP,2037,1,,,SEASHELLS
292,85800,KELP,2035,2,SUBMISSION,ExplicitBook,SEASHELLS
293,86000,SQUID_INK,1815,1,,,SEASHELLS
294,86100,SQUID_INK,1812,1,,,SEASHELLS
295,86200,KELP,2035,1,,,SEASHELLS
296,86600,RAINFOREST_RESIN,10002,1,,,SEASHELLS
297,86700,SQUID_INK,1812,1,,,SEASHELLS
298,86900,SQUID_INK,1812,1,,,SEASHELLS
299,87000,KELP,2035,1,SUBMISSION,InferredBot,SEASHELLS
300,87300,RAINFOREST_RESIN,9996,2,,,SEASHELLS
